date,City,pm25,pm10,no,no2,nox,nh3,co,so2,o3,aqi_cpcb,temp,humidity,precip,wind_speed,solar_rad,city,day_of_year,month,day_of_week,week_of_year,quarter,year,is_weekend,month_sin,month_cos,doy_sin,doy_cos,season,season_code,aqi,aqi_category,pm25_7d_avg,pm25_7d_std,pm10_7d_avg,pm10_7d_std,no2_7d_avg,no2_7d_std,o3_7d_avg,o3_7d_std,pm25_lag1,pm25_lag3,pm25_lag7,pollution_index,city_code
2015-01-01,Delhi,153.3,241.7,182.9,33.0,81.3,38.5,1.87,64.5,83.6,204.5,16.330832,67.99133,0.0,8.891344,10.17,Delhi,1,1,3,1,1,2015,0,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,Winter,0,203.8,Very Unhealthy,153.3,0.0,241.7,0.0,33.0,0.0,83.6,0.0,234.0,243.1,253.0,33.52612745098039,1
2015-01-02,Delhi,344.2,173.2,179.8,128.4,156.1,15.6,6.28,7.5,9.4,238.5,15.266247,83.166824,4.2,11.165805,4.91,Delhi,2,1,4,1,1,2015,0,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,Winter,0,375.6,Hazardous,248.75,134.98668452851192,207.45,48.436814511278506,80.7,67.45798692519664,46.5,52.46732316404182,153.3,243.1,253.0,55.4703081232493,1
2015-01-03,Delhi,473.9,20.1,12.7,102.7,244.7,42.5,0.04,29.8,42.0,77.6,15.599583,83.968925,0.1,9.028754,4.59,Delhi,3,1,5,1,1,2015,1,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,Winter,0,478.9,Hazardous,323.8,161.27061108583916,145.0,113.45955226423203,88.03333333333335,49.3621649984412,45.0,37.19085909198657,344.2,243.1,253.0,50.73710784313725,1
2015-01-04,Delhi,32.4,414.8,198.1,25.6,218.2,13.2,2.47,50.4,80.2,85.4,14.426665,78.390175,0.0,13.479583,12.68,Delhi,4,1,6,1,1,2015,1,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,Winter,0,93.7,Moderate,250.95,196.38558161603072,212.45,163.6461324525168,72.425,50.97936674119573,53.8,35.09795815523556,473.9,153.3,253.0,30.475574229691876,1
2015-01-05,Delhi,312.8,155.8,143.1,106.8,6.1,4.9,4.04,2.0,101.3,396.8,14.282916,73.73666,0.0,27.0,14.72,Delhi,5,1,0,2,1,2015,0,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,Winter,0,350.6,Hazardous,263.32,172.30948029635513,201.12,143.9683541616004,79.3,46.7493315460232,63.3,37.083014979906906,32.4,344.2,253.0,46.876428571428576,1
2015-01-06,Delhi,390.7,91.4,170.3,131.8,83.5,46.0,1.17,84.1,177.5,360.3,15.093334,75.10082,0.0,21.67487,12.46,Delhi,6,1,1,2,1,2015,0,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,Winter,0,412.6,Hazardous,284.55,162.6552273983225,182.83333333333334,136.3375321276818,88.05,46.98696627789456,82.33333333333333,57.2164894647222,312.8,473.9,253.0,58.32161064425772,1
2015-01-07,Delhi,282.3,420.9,165.9,134.7,165.5,25.8,1.15,15.7,85.2,370.3,13.784999,78.746956,0.0,11.304229,8.16,Delhi,7,1,2,2,1,2015,0,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,Winter,0,326.3,Hazardous,284.2285714285714,148.4856638903311,216.84285714285716,153.57887069453767,94.71428571428571,46.37565555947893,82.74285714285715,52.24250686758364,390.7,32.4,253.0,57.98640756302521,1
2015-01-08,Delhi,315.2,354.9,161.9,45.6,152.4,37.1,6.81,84.6,28.8,230.7,13.0495825,80.31939,0.0,9.422101,14.2,Delhi,8,1,3,2,1,2015,0,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,Winter,0,352.5,Hazardous,307.35714285714283,136.8456412305833,233.0142857142857,162.34228683629564,96.51428571428572,43.751359162561215,74.91428571428571,56.05914818509193,282.3,312.8,153.3,58.210329131652664,1
2015-01-09,Delhi,226.8,103.0,72.6,100.6,32.9,23.4,9.29,56.6,118.8,53.6,12.424583,82.65882,0.0,9.3669195,14.3,Delhi,9,1,4,2,1,2015,0,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,Winter,0,276.6,Very Unhealthy,290.5857142857143,138.75846434928368,222.9857142857143,168.6970008483793,92.54285714285713,41.58260281828036,90.54285714285713,49.6317054963477,315.2,390.7,344.2,48.537352941176465,1
2015-01-10,Delhi,316.8,209.1,68.0,100.0,30.2,36.8,3.37,11.2,4.4,29.9,11.907916,81.46557,0.0,13.849477,14.77,Delhi,10,1,5,2,1,2015,1,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,Winter,0,353.8,Hazardous,268.14285714285717,114.80473069728525,249.98571428571427,144.1522739856645,92.15714285714284,41.485091986674654,85.17142857142858,57.216044203402554,226.8,282.3,473.9,48.72070728291316,1
